resp,task01,task02,task03,task04,task05,task06
1069,3.0,3.0,1.0,2.0,1.0,1.0
1070,4.0,1.0,2.0,1.0,3.0,4.0
1071,4.0,4.0,4.0,1.0,4.0,4.0
1072,2.0,3.0,2.0,2.0,2.0,2.0
1073,1.0,4.0,3.0,2.0,2.0,3.0
1074,1.0,2.0,1.0,1.0,2.0,1.0
1075,3.0,2.0,2.0,3.0,2.0,3.0
1076,4.0,1.0,3.0,1.0,2.0,4.0
1077,2.0,2.0,3.0,3.0,3.0,1.0
1078,1.0,1.0,1.0,1.0,1.0,3.0
1079,4.0,1.0,3.0,4.0,4.0,2.0
1080,2.0,3.0,3.0,3.0,4.0,4.0
1081,4.0,4.0,2.0,4.0,3.0,2.0
1082,4.0,3.0,2.0,2.0,1.0,1.0
1083,4.0,1.0,1.0,2.0,4.0,3.0
1084,4.0,4.0,2.0,2.0,3.0,4.0
1085,3.0,3.0,1.0,1.0,2.0,4.0
1086,4.0,1.0,2.0,3.0,3.0,4.0
1087,4.0,1.0,1.0,1.0,2.0,2.0
1088,1.0,3.0,4.0,2.0,4.0,3.0
1089,4.0,4.0,2.0,3.0,1.0,3.0
1090,2.0,4.0,2.0,1.0,3.0,4.0
1091,2.0,4.0,4.0,1.0,3.0,4.0
1092,2.0,2.0,3.0,4.0,2.0,4.0
1093,1.0,2.0,2.0,2.0,1.0,1.0
1094,2.0,4.0,3.0,1.0,4.0,3.0
1095,1.0,2.0,2.0,1.0,2.0,1.0
1096,3.0,1.0,4.0,4.0,2.0,1.0
1097,2.0,1.0,4.0,4.0,4.0,1.0
1098,4.0,4.0,3.0,1.0,1.0,3.0
1099,3.0,1.0,4.0,3.0,4.0,4.0
1100,4.0,3.0,3.0,1.0,3.0,2.0
1101,3.0,1.0,2.0,3.0,2.0,2.0
1102,3.0,4.0,1.0,4.0,1.0,2.0
1103,4.0,4.0,3.0,2.0,3.0,2.0
1104,2.0,1.0,2.0,3.0,2.0,1.0
1105,2.0,1.0,2.0,2.0,3.0,1.0
1106,4.0,3.0,3.0,3.0,2.0,1.0
1107,4.0,1.0,1.0,1.0,2.0,4.0
1108,4.0,4.0,1.0,1.0,2.0,1.0
1109,1.0,4.0,3.0,2.0,2.0,2.0
1110,3.0,4.0,1.0,1.0,1.0,2.0
1111,3.0,1.0,3.0,3.0,3.0,1.0
1112,3.0,3.0,1.0,1.0,1.0,3.0
1113,4.0,4.0,4.0,3.0,4.0,2.0
1114,3.0,3.0,2.0,2.0,2.0,3.0
1115,2.0,2.0,1.0,2.0,2.0,2.0
1116,4.0,1.0,4.0,2.0,3.0,3.0
1117,4.0,4.0,3.0,1.0,2.0,4.0
1118,2.0,2.0,2.0,1.0,1.0,1.0
1119,4.0,2.0,2.0,4.0,1.0,1.0
1120,2.0,1.0,4.0,4.0,3.0,3.0
1121,1.0,2.0,1.0,1.0,3.0,1.0
1122,2.0,4.0,2.0,1.0,4.0,2.0
1123,1.0,4.0,4.0,1.0,2.0,4.0
1124,1.0,1.0,4.0,4.0,4.0,1.0
1125,3.0,3.0,4.0,2.0,3.0,1.0
1126,3.0,3.0,3.0,3.0,1.0,2.0
1127,1.0,4.0,3.0,2.0,4.0,4.0
1128,3.0,4.0,1.0,1.0,1.0,2.0
1129,4.0,2.0,1.0,4.0,4.0,2.0
1130,3.0,1.0,1.0,4.0,3.0,1.0
1131,2.0,1.0,3.0,2.0,4.0,2.0
1132,2.0,1.0,4.0,4.0,2.0,1.0
1133,4.0,1.0,1.0,2.0,2.0,3.0
1134,2.0,3.0,4.0,4.0,1.0,2.0
1135,4.0,3.0,4.0,3.0,4.0,4.0
1136,2.0,4.0,1.0,1.0,2.0,2.0
1137,2.0,3.0,2.0,3.0,1.0,3.0
1138,2.0,4.0,1.0,3.0,4.0,4.0
1139,3.0,4.0,3.0,4.0,3.0,1.0
1140,1.0,1.0,3.0,2.0,3.0,4.0
1141,2.0,2.0,1.0,3.0,4.0,3.0
1142,2.0,4.0,1.0,2.0,4.0,4.0
1143,1.0,3.0,1.0,2.0,2.0,4.0
1144,2.0,1.0,1.0,2.0,3.0,4.0
1145,3.0,3.0,3.0,1.0,4.0,3.0
1146,2.0,3.0,3.0,3.0,3.0,2.0
1147,2.0,2.0,3.0,4.0,1.0,4.0
1148,4.0,1.0,1.0,1.0,2.0,3.0
1149,1.0,4.0,1.0,3.0,3.0,2.0
1150,1.0,1.0,2.0,1.0,3.0,1.0
1151,2.0,1.0,2.0,1.0,2.0,2.0
1152,2.0,3.0,3.0,3.0,1.0,3.0
1153,1.0,2.0,2.0,1.0,4.0,3.0
1154,3.0,1.0,2.0,1.0,2.0,2.0
1155,2.0,2.0,2.0,2.0,3.0,1.0
1156,3.0,3.0,1.0,1.0,1.0,4.0
1157,3.0,2.0,4.0,2.0,1.0,1.0
1158,2.0,1.0,2.0,1.0,3.0,1.0
1159,2.0,2.0,3.0,3.0,3.0,2.0
1160,3.0,3.0,4.0,3.0,4.0,3.0
1161,4.0,4.0,4.0,4.0,2.0,4.0
1162,3.0,1.0,3.0,4.0,1.0,2.0
1163,2.0,2.0,2.0,1.0,4.0,4.0
1164,2.0,4.0,1.0,1.0,3.0,3.0
1165,2.0,1.0,2.0,4.0,4.0,3.0
1166,4.0,3.0,3.0,4.0,2.0,1.0
1167,3.0,1.0,4.0,3.0,4.0,3.0
1168,1.0,1.0,4.0,3.0,4.0,3.0
1169,3.0,2.0,4.0,4.0,2.0,2.0
1170,2.0,3.0,3.0,3.0,1.0,1.0
1171,2.0,2.0,3.0,3.0,4.0,1.0
1172,3.0,1.0,3.0,3.0,2.0,2.0
1173,4.0,1.0,4.0,2.0,3.0,3.0
1174,2.0,2.0,2.0,3.0,2.0,3.0
1175,2.0,3.0,3.0,4.0,3.0,2.0
1176,4.0,3.0,4.0,4.0,2.0,4.0
1177,2.0,1.0,4.0,2.0,4.0,4.0
1178,4.0,4.0,2.0,3.0,3.0,2.0
1179,4.0,4.0,3.0,2.0,4.0,4.0
1180,1.0,3.0,1.0,2.0,2.0,4.0
1181,1.0,2.0,2.0,4.0,2.0,1.0
1182,4.0,1.0,2.0,3.0,1.0,1.0
1183,1.0,4.0,3.0,1.0,4.0,1.0
1184,4.0,2.0,2.0,2.0,3.0,4.0
1185,4.0,1.0,3.0,3.0,1.0,3.0
1186,4.0,4.0,4.0,4.0,4.0,1.0
1187,4.0,2.0,4.0,1.0,3.0,2.0
1188,4.0,1.0,1.0,2.0,1.0,4.0
1189,3.0,4.0,1.0,4.0,3.0,1.0
1190,2.0,3.0,3.0,1.0,1.0,3.0
1191,4.0,4.0,2.0,2.0,2.0,4.0
