resp,task01,task02,task03,task04,task05,task06
260,2.0,4.0,4.0,3.0,1.0,2.0
261,4.0,3.0,3.0,3.0,1.0,4.0
262,3.0,4.0,1.0,1.0,3.0,1.0
263,3.0,2.0,4.0,3.0,2.0,4.0
264,3.0,2.0,1.0,2.0,2.0,2.0
265,2.0,4.0,1.0,4.0,4.0,4.0
266,4.0,3.0,1.0,2.0,4.0,2.0
267,3.0,3.0,2.0,2.0,2.0,3.0
268,4.0,2.0,4.0,1.0,4.0,2.0
269,4.0,2.0,4.0,3.0,4.0,2.0
270,1.0,2.0,3.0,3.0,4.0,4.0
271,1.0,4.0,3.0,2.0,4.0,4.0
272,4.0,2.0,2.0,3.0,4.0,2.0
273,3.0,4.0,4.0,3.0,1.0,2.0
274,1.0,2.0,1.0,1.0,3.0,3.0
275,2.0,2.0,2.0,3.0,4.0,3.0
276,1.0,1.0,4.0,2.0,4.0,1.0
277,3.0,1.0,2.0,3.0,4.0,4.0
278,4.0,4.0,2.0,1.0,3.0,3.0
279,4.0,2.0,2.0,1.0,3.0,1.0
280,1.0,3.0,1.0,2.0,3.0,2.0
281,3.0,2.0,1.0,3.0,3.0,1.0
282,1.0,1.0,3.0,1.0,1.0,1.0
283,2.0,2.0,3.0,2.0,2.0,4.0
284,1.0,2.0,1.0,1.0,4.0,1.0
285,2.0,4.0,4.0,1.0,2.0,3.0
286,1.0,1.0,2.0,3.0,2.0,3.0
287,1.0,2.0,1.0,1.0,3.0,3.0
288,3.0,1.0,1.0,4.0,4.0,3.0
289,2.0,1.0,4.0,3.0,4.0,2.0
290,1.0,2.0,3.0,4.0,1.0,1.0
291,3.0,3.0,3.0,1.0,4.0,3.0
292,4.0,4.0,4.0,2.0,2.0,2.0
293,4.0,3.0,4.0,3.0,3.0,2.0
294,1.0,3.0,1.0,4.0,1.0,1.0
295,3.0,4.0,1.0,2.0,4.0,1.0
296,4.0,2.0,3.0,1.0,4.0,3.0
297,3.0,3.0,1.0,3.0,1.0,1.0
298,1.0,4.0,1.0,2.0,4.0,3.0
299,1.0,3.0,3.0,1.0,2.0,3.0
300,3.0,4.0,2.0,1.0,4.0,3.0
301,2.0,1.0,2.0,3.0,2.0,3.0
302,3.0,4.0,4.0,4.0,3.0,2.0
303,3.0,4.0,4.0,2.0,4.0,3.0
304,1.0,1.0,1.0,3.0,4.0,2.0
305,1.0,4.0,4.0,2.0,2.0,1.0
306,3.0,3.0,3.0,3.0,4.0,4.0
307,4.0,4.0,1.0,4.0,3.0,1.0
308,2.0,3.0,3.0,4.0,2.0,2.0
309,2.0,1.0,3.0,2.0,4.0,2.0
310,2.0,1.0,1.0,3.0,4.0,2.0
311,3.0,3.0,3.0,3.0,3.0,3.0
