resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10
662,3.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0
663,1.0,4.0,4.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0
664,2.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0
665,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0
666,3.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0
667,1.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,1.0
668,1.0,4.0,4.0,2.0,1.0,3.0,3.0,1.0,4.0,3.0
669,3.0,4.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,4.0
670,1.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0
671,3.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0
672,4.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,4.0,1.0
673,4.0,4.0,3.0,3.0,2.0,4.0,3.0,1.0,2.0,1.0
674,1.0,2.0,4.0,1.0,1.0,3.0,4.0,4.0,3.0,2.0
675,3.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0
676,3.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0
677,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0
678,2.0,3.0,1.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0
679,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0
680,3.0,4.0,3.0,1.0,1.0,3.0,4.0,1.0,4.0,3.0
681,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0
682,3.0,2.0,3.0,4.0,1.0,3.0,3.0,4.0,1.0,1.0
683,3.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0
684,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0
685,1.0,3.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0
686,4.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0
687,1.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,1.0
688,1.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0
689,2.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0
690,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,2.0
691,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0
692,2.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,4.0,2.0
693,3.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0
694,3.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0
695,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0
696,2.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0
697,4.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0
698,2.0,4.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0
699,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
700,3.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0
701,2.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0
702,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0
703,2.0,4.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,2.0
704,3.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0
705,1.0,4.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0
706,1.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,1.0,1.0
707,3.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0
708,4.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,2.0,3.0
709,1.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,4.0,2.0
710,2.0,1.0,2.0,4.0,1.0,2.0,4.0,3.0,2.0,4.0
711,4.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0
712,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0
713,1.0,4.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0
714,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0
715,3.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,4.0
716,2.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0
717,1.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,4.0
718,3.0,4.0,3.0,1.0,2.0,4.0,3.0,4.0,2.0,3.0
719,1.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0
720,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0
721,4.0,2.0,3.0,1.0,2.0,4.0,1.0,2.0,3.0,3.0
722,4.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,4.0,4.0
723,1.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0
724,2.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0
725,2.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,4.0,4.0
726,4.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0
727,2.0,1.0,4.0,1.0,4.0,4.0,2.0,3.0,4.0,4.0
728,4.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0
729,3.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0
730,4.0,4.0,4.0,1.0,4.0,3.0,4.0,1.0,1.0,3.0
731,1.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0
732,2.0,4.0,3.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0
733,4.0,3.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,4.0
734,2.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,3.0
735,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
736,4.0,3.0,3.0,4.0,1.0,3.0,4.0,2.0,1.0,4.0
737,3.0,1.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,3.0
738,1.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0
739,1.0,4.0,4.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0
740,1.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0
741,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0
742,4.0,2.0,2.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0
743,4.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0
744,2.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0,1.0,2.0
745,1.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0
746,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0
747,3.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0
748,1.0,4.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0
749,4.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0
750,2.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0
751,1.0,3.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,1.0
752,4.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,1.0
753,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0
754,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0
755,3.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0
756,4.0,4.0,4.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0
757,2.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0
758,3.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0
759,1.0,3.0,3.0,1.0,4.0,2.0,4.0,1.0,1.0,3.0
760,3.0,3.0,4.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0
761,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0
762,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0
763,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0
764,4.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,4.0,2.0
765,1.0,1.0,3.0,3.0,4.0,1.0,3.0,1.0,1.0,4.0
766,4.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0
767,4.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0
768,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
769,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0
770,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0
771,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
772,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0
773,2.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0
774,1.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0
775,3.0,3.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,4.0
776,3.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0
777,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0
778,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0
779,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0
780,3.0,4.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0
781,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0
782,1.0,4.0,3.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0
783,4.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0
784,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0
785,3.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0
786,3.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0
787,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
788,1.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0
