resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10
181,3.0,4.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0
182,3.0,4.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0
183,4.0,3.0,2.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0
184,1.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0,2.0
185,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
186,2.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0
187,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0
188,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0
189,2.0,4.0,2.0,3.0,4.0,2.0,1.0,3.0,4.0,1.0
190,2.0,1.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0
191,4.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0
192,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0
193,2.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0
194,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0
195,3.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0
196,1.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0
197,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0
198,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0
199,3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0
200,1.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0
201,3.0,3.0,4.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0
202,3.0,4.0,4.0,1.0,1.0,4.0,3.0,4.0,2.0,3.0
203,4.0,4.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0
204,3.0,2.0,1.0,3.0,1.0,4.0,3.0,2.0,2.0,4.0
205,1.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0
206,4.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,4.0,1.0
207,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
208,2.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,3.0,1.0
209,3.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,3.0,1.0
210,2.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,4.0,4.0
211,1.0,4.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0
212,1.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0
213,4.0,1.0,4.0,4.0,2.0,3.0,1.0,1.0,2.0,4.0
214,2.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,1.0,2.0
215,3.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0
216,1.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0
217,1.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0
218,1.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,2.0
219,3.0,1.0,4.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0
220,3.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0
221,2.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0
222,3.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,1.0,3.0
223,2.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0
224,4.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0
225,3.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,4.0,3.0
226,3.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0
227,3.0,4.0,1.0,4.0,4.0,4.0,1.0,3.0,1.0,3.0
228,3.0,2.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,3.0
229,2.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,2.0
230,3.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0
231,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0
232,1.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0
233,4.0,4.0,2.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0
234,2.0,2.0,1.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0
235,4.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0
236,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0
237,3.0,2.0,4.0,4.0,1.0,3.0,4.0,1.0,4.0,3.0
