resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10,task11,task12
102,2.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0
103,2.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,4.0,3.0
104,1.0,2.0,2.0,3.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,3.0
105,4.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0
106,1.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,4.0
107,4.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0
108,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0
109,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0
110,1.0,4.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0
111,2.0,3.0,3.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0
112,4.0,4.0,1.0,2.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,4.0
113,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,4.0,3.0
114,1.0,4.0,4.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0
115,2.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0
116,2.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,3.0,4.0,1.0
117,3.0,1.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0
118,3.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
119,3.0,4.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0
120,2.0,4.0,4.0,3.0,4.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0
121,4.0,3.0,3.0,3.0,2.0,4.0,1.0,4.0,4.0,1.0,1.0,3.0
122,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0
123,3.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0
124,4.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,4.0,2.0,3.0
125,4.0,1.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0
126,2.0,4.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0
127,2.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0
128,2.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0
129,2.0,4.0,4.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0,1.0,4.0
130,3.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0
131,4.0,4.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0
132,4.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0
133,3.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0
134,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
135,4.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
136,3.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0
137,3.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0
138,4.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,2.0,4.0
139,4.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0
140,4.0,4.0,3.0,3.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0
141,3.0,4.0,2.0,1.0,3.0,2.0,4.0,1.0,4.0,4.0,3.0,2.0
142,4.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,2.0
143,1.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0
144,3.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0
145,1.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,1.0
146,1.0,2.0,3.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0
147,2.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0
148,2.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0
149,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0
150,1.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0
151,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0
152,2.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0
153,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
154,4.0,3.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,4.0,4.0,3.0
155,2.0,3.0,1.0,4.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0
156,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0
157,2.0,4.0,2.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,4.0,1.0
158,2.0,2.0,1.0,3.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0
159,2.0,1.0,2.0,4.0,3.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0
160,1.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0
161,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,4.0
162,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,4.0,4.0
163,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0
164,3.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0
165,3.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,4.0,3.0,1.0,3.0
166,4.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0
167,1.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0
168,3.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0
169,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0
170,1.0,3.0,1.0,4.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0
171,2.0,2.0,3.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0
172,1.0,4.0,1.0,3.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0,4.0
173,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0
174,1.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0
175,2.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0
176,2.0,1.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0
177,4.0,4.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,4.0,1.0,4.0
178,2.0,3.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0
179,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0
180,2.0,3.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0
181,1.0,3.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,3.0
182,1.0,2.0,3.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0
183,4.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,1.0,4.0,2.0
184,2.0,3.0,2.0,4.0,3.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0
185,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0
186,3.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0
187,1.0,2.0,3.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0
188,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0
189,1.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0
190,3.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0
191,1.0,1.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,4.0,1.0,3.0
192,2.0,4.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0
193,2.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,2.0
194,1.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0
195,1.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0
196,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0
197,3.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0
198,3.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,3.0,2.0
199,2.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0
200,4.0,4.0,1.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0
201,1.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,4.0
202,2.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0
203,2.0,2.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0
204,2.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0
205,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0
206,2.0,1.0,4.0,2.0,4.0,1.0,2.0,4.0,1.0,4.0,2.0,1.0
207,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0
208,2.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0
209,3.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0
210,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0
211,1.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0
212,1.0,3.0,3.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0
213,4.0,3.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0
214,1.0,4.0,1.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0
215,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0
216,1.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,1.0
217,3.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0,3.0,4.0,1.0
218,4.0,3.0,4.0,1.0,3.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0
219,2.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,4.0,1.0
220,2.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0
221,3.0,1.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0
222,3.0,4.0,4.0,3.0,4.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0
223,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,1.0
224,4.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,1.0,3.0,2.0,2.0
225,4.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0
226,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0
227,1.0,2.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0,1.0
228,3.0,3.0,4.0,1.0,4.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0
229,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0
230,1.0,4.0,3.0,2.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0
231,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0
232,4.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,4.0,3.0
233,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0
234,1.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0
235,2.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0
236,2.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0
237,3.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0
238,4.0,4.0,4.0,3.0,4.0,2.0,3.0,1.0,4.0,4.0,1.0,4.0
239,2.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0
240,3.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0
241,1.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0
242,1.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,4.0,3.0,2.0
243,3.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,1.0,3.0
244,2.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,2.0,4.0
245,3.0,1.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,4.0,2.0,3.0
246,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0
247,4.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0
248,3.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0
249,4.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,4.0
250,3.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0,4.0,3.0,4.0
251,3.0,1.0,1.0,4.0,2.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0
252,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,2.0
253,3.0,3.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0
254,2.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,3.0
255,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0
256,4.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0
257,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0
258,2.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0
259,4.0,3.0,4.0,4.0,4.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0
260,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0
261,2.0,2.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0
262,3.0,4.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,4.0
263,4.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0
264,4.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0
265,1.0,4.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,4.0,1.0,3.0
266,1.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0
267,1.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,1.0,1.0
268,1.0,4.0,3.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,4.0,3.0
269,4.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0
270,4.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0
271,2.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,4.0,1.0,4.0,1.0
272,1.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0
273,1.0,3.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0
274,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0
275,1.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,4.0,3.0,4.0
276,4.0,2.0,2.0,4.0,3.0,4.0,1.0,2.0,4.0,3.0,3.0,1.0
277,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0
